"INTF Name", "INTF Addr", "INTF Data", "INTF Array", "INTF Be", "Has TpSRAM"
MbistIntfFrontend,10,76,7,76,false
"SRAM Name","SRAM Type","SRAM array","pipeline depth","bitWrite","bank addr","selectOH width","foundry","SRAM Inst"
bpu_predictors_tage_bt_bt_0_array_array_0_0_0_node0,sram_array_1p256x8m2s1h0l1b_bp_tage_bt.sv,64,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_bt_bt_0_array_array_1_0_0_node0,sram_array_1p256x8m2s1h0l1b_bp_tage_bt.sv,65,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_bt_bt_1_array_array_0_0_0_node0,sram_array_1p256x8m2s1h0l1b_bp_tage_bt.sv,66,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_bt_bt_1_array_array_1_0_0_node0,sram_array_1p256x8m2s1h0l1b_bp_tage_bt.sv,67,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_0_table_0_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,68,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_0_table_1_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,69,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_1_table_0_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,70,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_1_table_1_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,71,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_2_table_0_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,72,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_2_table_1_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,73,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_3_table_0_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,74,4,true,None,1,Unknown,STANDARD
bpu_predictors_tage_scTables_3_table_1_node0,sram_array_1p128x24m6s1h0l1b_bp_sc.sv,75,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_0_table_array_array_0_0_0_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,76,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_1_table_array_array_0_0_0_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,77,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_2_table_array_array_0_0_0_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,78,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_2_table_array_array_0_0_1_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,79,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_3_table_array_array_0_0_0_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,80,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_3_table_array_array_0_0_1_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,81,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_4_table_array_array_0_0_0_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,82,4,true,None,1,Unknown,STANDARD
bpu_predictors_ittage_tables_4_table_array_array_0_0_1_node0,sram_array_1p128x76m1s1h0l1b_bp_ittage.sv,83,4,true,None,1,Unknown,STANDARD
